"TIMESTAMP","CO2_F_MDS"
2006-02-04,417.043
2006-02-05,385.701
2006-02-06,396.676
2006-02-07,398.964
2006-02-08,404.012
2006-02-09,402.505
2006-02-10,351.225
2006-02-11,382.445
2006-02-12,391.146
2006-02-13,402.659
2006-02-14,413.236
2006-02-15,490.201
2006-02-16,436.017
2006-02-17,400.494
2006-02-18,416.642
2006-02-19,429.435
2006-02-20,451.395
2006-02-21,435.263
2006-02-22,382.442
2006-02-23,385.531
2006-02-24,380.5
2006-02-25,371.346
2006-02-26,408.194
2006-02-27,376.343
2006-02-28,385.984
2006-03-01,337.626
2006-03-02,486.302
2006-03-03,422.079
2006-03-04,450.271
2006-03-05,403.686
2006-03-06,398.216
2006-03-07,380.225
2006-03-08,450.661
2006-03-09,383.317
2006-03-10,395.428
2006-03-11,394.827
2006-03-12,389.354
2006-03-13,379.2
2006-03-14,383.602
2006-03-15,390.901
2006-03-16,382.722
2006-03-17,385.714
2006-03-18,384.983
2006-03-19,395.762
2006-03-20,401.958
2006-03-21,410.263
2006-03-22,432.438
2006-03-23,391.698
2006-03-24,402.782
2006-03-25,388.18
2006-03-26,384.95
2006-03-27,398.289
2006-03-28,428.95
2006-03-29,412.534
2006-03-30,408.548
2006-03-31,401.201
2006-04-01,390.657
2006-04-02,380.308
2006-04-03,381.472
2006-04-04,382.355
2006-04-05,420.379
2006-04-06,482.385
2006-04-07,384.712
2006-04-08,390.152
2006-04-09,480.719
2006-04-10,474.59
2006-04-11,418.678
2006-04-12,402.981
2006-04-13,420.872
2006-04-14,401.273
2006-04-15,421.862
2006-04-16,421.403
2006-04-17,409.464
2006-04-18,396.99
2006-04-19,393.782
2006-04-20,391.797
2006-04-21,382.981
2006-04-22,379.771
2006-04-23,377.334
2006-04-24,379.664
2006-04-25,381.344
2006-04-26,386.457
2006-04-27,398.779
2006-04-28,382.816
2006-04-29,370.305
2006-04-30,381.611
2006-05-01,397.79
2006-05-02,408.329
2006-05-03,426.686
2006-05-04,443.201
2006-05-05,444.517
2006-05-06,397.622
2006-05-07,410.692
2006-05-08,421.808
2006-05-09,410.341
2006-05-10,389.673
2006-05-11,405.498
2006-05-12,387.083
2006-05-13,400.431
2006-05-14,407.616
2006-05-15,393.946
2006-05-16,360.858
2006-05-17,384.522
2006-05-18,459.641
2006-05-19,369.554
2006-05-20,372.011
2006-05-21,383.681
2006-05-22,406.893
2006-05-23,409.373
2006-05-24,381.214
2006-05-25,367.973
2006-05-26,362.81
2006-05-27,371.55
2006-05-28,370.077
2006-05-29,383.143
2006-05-30,413.093
2006-05-31,372.574
2006-06-01,381.644
2006-06-02,382.335
2006-06-03,389.089
2006-06-04,380.59
2006-06-05,383.14
2006-06-06,367.099
2006-06-07,369.69
2006-06-08,376.481
2006-06-09,376.57
2006-06-10,393.664
2006-06-11,377.767
2006-06-12,407.431
2006-06-13,426.956
2006-06-14,436.396
2006-06-15,415.145
2006-06-16,394.327
2006-06-17,386.059
2006-06-18,412.776
2006-06-19,405.708
2006-06-20,386.352
2006-06-21,371.775
2006-06-22,376.134
2006-06-23,340.683
2006-06-24,390.725
2006-06-25,395.13
2006-06-26,449.584
2006-06-27,417.536
2006-06-28,366.597
2006-06-29,391.242
2006-06-30,380.88
2006-07-01,354.961
2006-07-02,348.52
2006-07-03,359.514
2006-07-04,398.468
2006-07-05,401.511
2006-07-06,402.368
2006-07-07,396.768
2006-07-08,441.363
2006-07-09,424.85
2006-07-10,394.103
2006-07-11,401.735
2006-07-12,408.58
2006-07-13,399.343
2006-07-14,398.555
2006-07-15,349.562
2006-07-16,359.526
2006-07-17,389.098
2006-07-18,413.121
2006-07-19,426.414
2006-07-20,410.639
2006-07-21,406.296
2006-07-22,412.055
2006-07-23,377.904
2006-07-24,400.943
2006-07-25,417.498
2006-07-26,402.935
2006-07-27,408.169
2006-07-28,397.657
2006-07-29,371.858
2006-07-30,408.537
2006-07-31,432.886
2006-08-01,363.682
2006-08-02,357.033
2006-08-03,442.894
2006-08-04,382.031
2006-08-05,382.461
2006-08-06,383.931
2006-08-07,370.796
2006-08-08,385.949
2006-08-09,358.824
2006-08-10,392.104
2006-08-11,399.514
2006-08-12,396.656
2006-08-13,390.701
2006-08-14,399.073
2006-08-15,367.021
2006-08-16,386.836
2006-08-17,355.879
2006-08-18,360.687
2006-08-19,390.939
2006-08-20,385.648
2006-08-21,379.521
2006-08-22,345.94
2006-08-23,396.663
2006-08-24,396.539
2006-08-25,362.813
2006-08-26,379.261
2006-08-27,382.024
2006-08-28,403.194
2006-08-29,349.584
2006-08-30,358.391
2006-08-31,380.496
2006-09-01,419.281
2006-09-02,397.112
2006-09-03,392.086
2006-09-04,346.501
2006-09-05,375.96
2006-09-06,403.263
2006-09-07,376.508
2006-09-08,374.706
2006-09-09,385.736
2006-09-10,429.835
2006-09-11,407.019
2006-09-12,400.3
2006-09-13,411.978
2006-09-14,439.015
2006-09-15,400.779
2006-09-16,388.387
2006-09-17,373.584
2006-09-18,362.327
2006-09-19,375.877
2006-09-20,421.225
2006-09-21,447.868
2006-09-22,425.575
2006-09-23,437.241
2006-09-24,406.849
2006-09-25,427.963
2006-09-26,394.802
2006-09-27,377.004
2006-09-28,414.307
2006-09-29,429.493
2006-09-30,416.252
2006-10-01,452.954
2006-10-02,378.62
2006-10-03,431.493
2006-10-04,375.767
2006-10-05,391.486
2006-10-06,390.004
2006-10-07,392.802
2006-10-08,487.38
2006-10-09,511.851
2006-10-10,518.115
2006-10-11,506.357
2006-10-12,392.738
2006-10-13,412.944
2006-10-14,367.33
2006-10-15,372.526
2006-10-16,376.528
2006-10-17,412.994
2006-10-18,515.563
2006-10-19,413.914
2006-10-20,404.802
2006-10-21,396.591
2006-10-22,416.307
2006-10-23,470.868
2006-10-24,394.182
2006-10-25,403.319
2006-10-26,493.081
2006-10-27,512.301
2006-10-28,454.023
2006-10-29,412.533
2006-10-30,379.233
2006-10-31,453.027
2006-11-01,363.162
2006-11-02,370.802
2006-11-03,391.92
2006-11-04,389.196
2006-11-05,410.481
2006-11-06,466.638
2006-11-07,439.994
2006-11-08,395.138
2006-11-09,403.44
2006-11-10,369.019
2006-11-11,419.065
2006-11-12,408.617
2006-11-13,370.934
2006-11-14,388.91
2006-11-15,399.122
2006-11-16,408.345
2006-11-17,465.797
2006-11-18,446.664
2006-11-19,612.551
2006-11-20,379.715
2006-11-21,454.774
2006-11-22,386.841
2006-11-23,373.53
2006-11-24,402.985
2006-11-25,424.6
2006-11-26,512.568
2006-11-27,475.282
2006-11-28,432.73
2006-11-29,544.765
2006-11-30,383.407
2006-12-01,376.526
2006-12-02,386.467
2006-12-03,412.563
2006-12-04,439.044
2006-12-05,413.491
2006-12-06,502.116
2006-12-07,387.053
2006-12-08,483.55
2006-12-09,456.767
2006-12-10,389.485
2006-12-11,399.135
2006-12-12,390.426
2006-12-13,401.671
2006-12-14,447.377
2006-12-15,493.223
2006-12-16,447.237
2006-12-17,410.55
2006-12-18,366.449
2006-12-19,358.301
2006-12-20,366.035
2006-12-21,364.271
2006-12-22,365.321
2006-12-23,373.614
2006-12-24,373.34
2006-12-25,366.959
2006-12-26,373.018
2006-12-27,379.673
2006-12-28,384.669
2006-12-29,388.089
2006-12-30,385.199
2006-12-31,402.418
2007-01-01,467.486
2007-01-02,450.194
2007-01-03,413.32
2007-01-04,436.564
2007-01-05,390.223
2007-01-06,374.109
2007-01-07,489.39
2007-01-08,392.996
2007-01-09,472.424
2007-01-10,465.166
2007-01-11,373.858
2007-01-12,397.594
2007-01-13,385.08
2007-01-14,376.55
2007-01-15,404.526
2007-01-16,379.934
2007-01-17,382.253
2007-01-18,448.639
2007-01-19,460.217
2007-01-20,364.676
2007-01-21,400.308
2007-01-22,398.856
2007-01-23,409.603
2007-01-24,373.621
2007-01-25,367.439
2007-01-26,423.868
2007-01-27,380.593
2007-01-28,388.153
2007-01-29,385.831
2007-01-30,452.449
2007-01-31,422.319
2007-02-01,387.904
2007-02-02,369.7
2007-02-03,379.396
2007-02-04,355.22
2007-02-05,388.86
2007-02-06,451.506
2007-02-07,414.045
2007-02-08,455.415
2007-02-09,429.477
2007-02-10,572.556
2007-02-11,404.553
2007-02-12,424.491
2007-02-13,454.719
2007-02-14,468.667
2007-02-15,387.336
2007-02-16,461.337
2007-02-17,413.339
2007-02-18,427.379
2007-02-19,395.579
2007-02-20,475.879
2007-02-21,417.458
2007-02-22,395.06
2007-02-23,404.211
2007-02-24,480.384
2007-02-25,437.922
2007-02-26,445.877
2007-02-27,396.139
2007-02-28,408.275
2007-03-01,455.602
2007-03-02,413.048
2007-03-03,415.791
2007-03-04,463.04
2007-03-05,412.89
2007-03-06,497.562
2007-03-07,420.81
2007-03-08,394.271
2007-03-09,381.936
2007-03-10,393.521
2007-03-11,383.242
2007-03-12,395.078
2007-03-13,402.696
2007-03-14,401.461
2007-03-15,382.795
2007-03-16,487.807
2007-03-17,381.02
2007-03-18,403.975
2007-03-19,405.524
2007-03-20,365.666
2007-03-21,383.05
2007-03-22,478.497
2007-03-23,435.128
2007-03-24,451.051
2007-03-25,379.424
2007-03-26,432.56
2007-03-27,399.061
2007-03-28,418.855
2007-03-29,384.892
2007-03-30,395.731
2007-03-31,366.997
2007-04-01,393.752
2007-04-02,441.695
2007-04-03,403.663
2007-04-04,438.15
2007-04-05,369.576
2007-04-06,390.863
2007-04-07,395.558
2007-04-08,373.09
2007-04-09,382.56
2007-04-10,393.928
2007-04-11,386.539
2007-04-12,403.913
2007-04-13,433.953
2007-04-14,434.755
2007-04-15,431.44
2007-04-16,428.851
2007-04-17,415.336
2007-04-18,376.623
2007-04-19,367.746
2007-04-20,387.171
2007-04-21,389.801
2007-04-22,400.067
2007-04-23,418.375
2007-04-24,417.408
2007-04-25,427.458
2007-04-26,397.849
2007-04-27,426.148
2007-04-28,400.126
2007-04-29,387.348
2007-04-30,383.432
2007-05-01,367.009
2007-05-02,354.263
2007-05-03,357.91
2007-05-04,386.615
2007-05-05,416.687
2007-05-06,383.33
2007-05-07,369.775
2007-05-08,390.879
2007-05-09,369.549
2007-05-10,369.175
2007-05-11,370.545
2007-05-12,366.025
2007-05-13,407.074
2007-05-14,378.575
2007-05-15,352.429
2007-05-16,356.394
2007-05-17,392.017
2007-05-18,363.265
2007-05-19,402.922
2007-05-20,399.447
2007-05-21,395.006
2007-05-22,407.904
2007-05-23,398.958
2007-05-24,375.993
2007-05-25,401.467
2007-05-26,397.621
