"date","ppfd","ppfd_bigleaf"
2005-03-13,0.00046483236,524.0757
2005-03-14,0.00044485872,501.5564
2005-03-15,0.00042558684,479.8283
2005-03-16,0.00046109712,519.8644
2005-03-17,0.000432837,488.0025
2005-03-18,0.00045726804,515.5473
2005-03-19,0.0004613154,520.1105
2005-03-20,0.0002883846,325.1395
2005-03-21,0.00032247504,363.5748
2005-03-22,0.00016291644,183.6803
2005-03-23,0.0003758394,423.7405
2005-03-24,0.00024877188,280.4781
2005-03-25,0.00042057864,474.1818
2005-03-26,0.00032882148,370.7301
2005-03-27,0.0002085084,235.083
2005-03-28,0.00032405808,365.3596
2005-03-29,0.00036085968,406.8516
2005-03-30,0.00016993404,191.5923
2005-03-31,0.000248064,279.68
2005-04-01,0.00049872696,562.2902
2005-04-02,0.00049116672,553.7664
2005-04-03,0.00050213784,566.1358
2005-04-04,0.00050080776,564.6362
2005-04-05,0.00019483836,219.6707
2005-04-06,0.00046730076,526.8587
2005-04-07,0.0001550298,174.7885
2005-04-08,0.00013580892,153.1179
2005-04-09,0.00016898136,190.5182
2005-04-10,0.00038579256,434.9622
2005-04-11,0.00035869728,404.4136
2005-04-12,0.00014190648,159.9926
2005-04-13,0.0002174232,245.134
2005-04-14,0.00052190136,588.4182
2005-04-15,0.00044863272,505.8114
2005-04-16,0.00027218904,306.8798
2005-04-17,0.0002032452,229.149
2005-04-18,0.00028109568,316.9216
2005-04-19,0.00022741512,256.3994
2005-04-20,0.0001781736,200.882
2005-04-21,0.00026507964,298.8643
2005-04-22,0.00061497228,693.3511
2005-04-23,0.00026839056,302.5972
2005-04-24,0.00016618452,187.3649
2005-04-25,0.00025319664,285.4668
2005-04-26,0.00054971268,619.7741
2005-04-27,8.952336e-05,100.9332
2005-04-28,0.00039589464,446.3518
2005-04-29,0.00051032844,575.3703
2005-04-30,0.00060526596,682.4077
2005-05-01,0.00060561684,682.8033
2005-05-02,0.00053613852,604.4699
2005-05-03,0.000232458,262.085
2005-05-04,0.0003268182,368.4715
2005-05-05,0.00035092896,395.6552
2005-05-06,0.0001498584,168.958
2005-05-07,0.0001967886,221.8695
2005-05-08,0.00045510972,513.1139
2005-05-09,0.0004609074,519.6505
2005-05-10,0.00031451904,354.6048
2005-05-11,0.00068255136,769.5432
2005-05-12,0.0005537478,624.3235
2005-05-13,0.00047515272,535.7114
2005-05-14,0.0001756542,198.0415
2005-05-15,0.00049107492,553.6629
2005-05-16,0.00017222292,194.1729
2005-05-17,0.00051770304,583.6848
2005-05-18,9.753648e-05,109.9676
2005-05-19,0.00061990296,698.9102
2005-05-20,0.00066861408,753.8296
2005-05-21,0.0002833152,319.424
2005-05-22,0.0004029612,454.319
2005-05-23,0.00020963856,236.3572
2005-05-24,0.00052150356,587.9697
2005-05-25,0.00070191912,791.3794
2005-05-26,0.00070073592,790.0454
2005-05-27,0.00068090508,767.6871
2005-05-28,0.00068221476,769.1637
2005-05-29,0.00063714708,718.3521
2005-05-30,0.00013249596,149.3827
2005-05-31,0.00063398508,714.7871
2005-06-01,0.00069006876,778.0187
2005-06-02,0.00070246584,791.9958
2005-06-03,0.0006862458,773.7085
2005-06-04,0.00040463196,456.2027
2005-06-05,0.00040562952,457.3274
2005-06-06,0.00024210108,272.9571
2005-06-07,0.00065872416,742.6792
2005-06-08,0.00071656836,807.8957
2005-06-09,0.00066602532,750.9109
2005-06-10,0.00074275584,837.4208
2005-06-11,0.00068921604,777.0573
2005-06-12,0.00045268416,510.3792
2005-06-13,0.00043306956,488.2647
2005-06-14,0.00025410444,286.4903
2005-06-15,0.00069138252,779.4999
2005-06-16,0.00059313204,668.7273
2005-06-17,0.00063604752,717.1124
2005-06-18,0.00073534248,829.0626
2005-06-19,0.00074099328,835.4336
2005-06-20,0.00074360448,838.3776
2005-06-21,0.00067513392,761.1804
2005-06-22,0.00059913168,675.4916
2005-06-23,0.00066742884,752.4933
2005-06-24,0.00063427476,715.1137
2005-06-25,0.00051124032,576.3984
2005-06-26,0.00067237992,758.0754
2005-06-27,0.00062726124,707.2063
2005-06-28,0.00055131612,621.5819
2005-06-29,0.00046907964,528.8643
2005-06-30,0.00037771824,425.8588
2005-07-01,0.0003983916,449.167
2005-07-02,0.00029653236,334.3257
2005-07-03,0.00069617244,784.9003
2005-07-04,0.00033188352,374.1824
2005-07-05,0.00051523056,580.8972
2005-07-06,0.00025588944,288.5028
2005-07-07,0.0002013174,226.9755
2005-07-08,0.00028095288,316.7606
2005-07-09,0.0006286464,708.768
2005-07-10,0.00035501916,400.2667
2005-07-11,0.00043014012,484.9619
2005-07-12,0.00065732268,741.0991
2005-07-13,0.00066442188,749.1031
2005-07-14,0.00071144184,802.1158
2005-07-15,0.00063748572,718.7339
2005-07-16,0.00041008284,462.3483
2005-07-17,0.00066015828,744.2961
2005-07-18,0.00037907892,427.3929
2005-07-19,0.00039382404,444.0173
2005-07-20,0.00059940912,675.8044
2005-07-21,0.00045362664,511.4418
2005-07-22,0.0005773914,650.9805
2005-07-23,0.00042408744,478.1378
2005-07-24,0.00025211544,284.2478
2005-07-25,0.00025181964,283.9143
2005-07-26,0.000508317,573.1025
2005-07-27,0.0006345828,715.461
2005-07-28,0.00062050884,699.5933
2005-07-29,0.00043058076,485.4587
2005-07-30,0.00025474704,287.2148
2005-07-31,0.0005335212,601.519
2005-08-01,0.00058153872,655.6564
2005-08-02,7.32666e-05,82.6045
2005-08-03,0.00020440392,230.4554
2005-08-04,0.00062768964,707.6893
2005-08-05,0.00058443348,658.9201
2005-08-06,0.00039662088,447.1706
2005-08-07,0.00038722668,436.5791
2005-08-08,0.00053332128,601.2936
2005-08-09,0.0006390198,720.4635
2005-08-10,0.0006256884,705.433
2005-08-11,0.0005615712,633.144
2005-08-12,0.00055806444,629.1903
2005-08-13,0.00034326672,387.0164
2005-08-14,0.00014133732,159.3509
2005-08-15,0.00011372796,128.2227
2005-08-16,0.00039163512,441.5494
2005-08-17,0.00055497588,625.7081
2005-08-18,0.00044698848,503.9576
2005-08-19,0.00035408688,399.2156
2005-08-20,0.00022041384,248.5058
2005-08-21,9.548832e-05,107.6584
2005-08-22,9.827496e-05,110.8002
2005-08-23,0.00032372148,364.9801
2005-08-24,0.00040610076,457.8587
2005-08-25,0.00020908776,235.7362
2005-08-26,0.000353481,398.5325
2005-08-27,0.00042036444,473.9403
2005-08-28,0.00043823892,494.0929
2005-08-29,0.000539172,607.89
2005-08-30,0.00052467372,591.5439
2005-08-31,0.00051660348,582.4451
2005-09-01,0.00048025476,541.4637
2005-09-02,0.00044438136,501.0182
2005-09-03,0.00046192536,520.7982
2005-09-04,0.00032525148,366.7051
2005-09-05,0.00036297924,409.2413
2005-09-06,0.00045086244,508.3253
2005-09-07,0.00048700104,549.0698
2005-09-08,0.00047878392,539.8054
2005-09-09,0.00033099408,373.1796
2005-09-10,0.00028039392,316.1304
2005-09-11,0.00021989772,247.9239
2005-09-12,0.00023588928,265.9536
2005-09-13,0.00034994364,394.5443
2005-09-14,0.00025031208,282.2146
2005-09-15,0.0003830406,431.8595
2005-09-16,0.00033472728,377.3886
2005-09-17,0.00010095552,113.8224
2005-09-18,8.435808e-05,95.1096
2005-09-19,0.00013832832,155.9584
2005-09-20,0.00029978616,337.9942
2005-09-21,0.00043658652,492.2299
2005-09-22,0.00041770836,470.9457
2005-09-23,0.00037790388,426.0681
2005-09-24,0.00038917896,438.7802
2005-09-25,0.00036086376,406.8562
2005-09-26,0.00027163212,306.2519
2005-09-27,0.00015271236,172.1757
2005-09-28,0.00025524276,287.7737
2005-09-29,0.00012699408,143.1796
2005-09-30,0.00021959988,247.5881
2005-10-01,8.020668e-05,90.4291
2005-10-02,7.034124e-05,79.3063
2005-10-03,4.389468e-05,49.4891
2005-10-04,0.00010979688,123.7906
2005-10-05,0.00016709436,188.3907
2005-10-06,0.0001714824,193.338
2005-10-07,0.00026691156,300.9297
2005-10-08,0.00031258512,352.4244
2005-10-09,0.00027196668,306.6291
2005-10-10,0.00026918208,303.4896
2005-10-11,0.00025080168,282.7666
2005-10-12,0.00023328012,263.0119
2005-10-13,0.00024320064,274.1968
2005-10-14,0.00027815196,313.6027
2005-10-15,0.00015988908,180.2671
2005-10-16,9.393996e-05,105.9127
2005-10-17,9.426636e-05,106.2807
2005-10-18,9.130632e-05,102.9434
2005-10-19,0.0001036728,116.886
2005-10-20,0.00019743324,222.5963
2005-10-21,0.00018475668,208.3041
2005-10-22,0.000248574,280.255
2005-10-23,7.170804e-05,80.8473
2005-10-24,0.00016611516,187.2867
2005-10-25,0.000176664,199.18
2005-10-26,0.00023524464,265.2268
2005-10-27,0.00021434076,241.6587
2005-10-28,0.0002275824,256.588
2005-10-29,0.00022812912,257.2044
2005-10-30,0.00022837596,257.4827
2005-10-31,0.00014032344,158.2078
2005-11-01,0.0001433202,161.5865
2005-11-02,0.00013533156,152.5797
2005-11-03,0.00021886752,246.7624
2005-11-04,0.00012385656,139.6422
2005-11-05,0.00010988052,123.8849
2005-11-06,8.809332e-05,99.3209
2005-11-07,0.00013423404,151.3423
2005-11-08,7.695696e-05,86.7652
2005-11-09,0.00015047856,169.6572
2005-11-10,7.498836e-05,84.5457
2005-11-11,6.947424e-05,78.3288
2005-11-12,0.000125715,141.7375
2005-11-13,8.475792e-05,95.5604
2005-11-14,3.301128e-05,37.2186
2005-11-15,0.0001072224,120.888
2005-11-16,8.092068e-05,91.2341
2005-11-17,0.00014239608,160.5446
2005-11-18,0.00016724328,188.5586
2005-11-19,0.00017939556,202.2597
2005-11-20,0.00018773304,211.6598
2005-11-21,9.409908e-05,106.0921
2005-11-22,9.295464e-05,104.8018
2005-11-23,8.790972e-05,99.1139
2005-11-24,0.00016065816,181.1342
2005-11-25,0.00014619048,164.8226
2005-11-26,0.00016914864,190.7068
2005-11-27,9.280572e-05,104.6339
2005-11-28,6.654276e-05,75.0237
2005-11-29,7.77138e-05,87.6185
2005-11-30,7.850328e-05,88.5086
2005-12-01,8.53842e-05,96.2665
2005-12-02,5.788704e-05,65.2648
2005-12-03,8.48946e-05,95.7145
2005-12-04,7.705896e-05,86.8802
2005-12-05,5.94456e-05,67.022
2005-12-06,8.020872e-05,90.4314
2005-12-07,4.912116e-05,55.3817
2005-12-08,2.731764e-05,30.7993
2005-12-09,3.069792e-05,34.6104
2005-12-10,4.54512e-05,51.244
2005-12-11,0.00013273668,149.6541
2005-12-12,0.0001416168,159.666
2005-12-13,4.518192e-05,50.9404
2005-12-14,3.092028e-05,34.8611
2005-12-15,0.000144126,162.495
2005-12-16,1.006128e-05,11.3436
2005-12-17,3.899664e-05,43.9668
2005-12-18,7.258728e-05,81.8386
2005-12-19,5.825628e-05,65.6811
2005-12-20,5.542068e-05,62.4841
2005-12-21,3.46086e-05,39.0195
2005-12-22,9.727332e-05,109.6709
2005-12-23,8.206308e-05,92.5221
2005-12-24,4.899876e-05,55.2437
2005-12-25,2.951472e-05,33.2764
2005-12-26,5.790336e-05,65.2832
2005-12-27,4.553076e-05,51.3337
2005-12-28,7.521888e-05,84.8056
2005-12-29,8.262204e-05,93.1523
