"date","PPFD_IN","PPFD_IN_QC","PPFD_DIF","PPFD_DIF_QC"
2005-04-06,472.301426875,1,210.243958333333,1
2005-04-07,172.923385416667,1,165.780833333333,1
2005-04-08,144.589116875,1,138.283541666667,1
2005-04-09,179.778451,1,173.363958333333,1
2005-04-10,384.738722354167,1,190.842291666667,1
2005-04-11,358.983283958333,1,256.451875,1
2005-04-12,141.750662708333,1,135.264583333333,1
2005-04-13,212.661725208333,1,203.373541666667,1
2005-04-14,527.6778210625,1,236.77625,1
2005-04-15,447.600794375,1,239.574166666667,1
2005-04-16,275.447905916667,1,260.629375,1
2005-04-17,213.3761559375,1,208.525625,1
2005-04-18,284.183774166667,1,252.60875,1
2005-04-19,230.129743333333,1,209.904791666667,1
2005-04-20,184.687574680851,0.979166666666667,177.089574468085,0.979166666666667
2005-04-21,263.239433979167,1,210.199375,1
2005-04-22,620.327359666667,1,137.185,1
2005-04-23,275.725195,1,198.09625,1
2005-04-24,176.381998541667,1,165.535416666667,1
2005-04-25,260.959495,1,227.315,1
2005-04-26,560.043061666667,1,247.868958333333,1
2005-04-27,98.1891764583333,1,90.8808333333333,1
2005-04-28,402.631924166667,1,302.40875,1
2005-04-29,513.386956458333,1,245.266458333333,1
2005-04-30,617.681858958333,1,168.3275,1
2005-05-01,619.573459166667,1,175.840416666667,1
2005-05-02,537.518134375,1,257.819791666667,1
2005-05-03,239.039883125,1,178.977708333333,1
2005-05-04,333.764364583333,1,240.732083333333,1
2005-05-05,355.344865208333,1,236.269791666667,1
2005-05-06,155.003048125,1,146.1275,1
2005-05-07,206.193012291667,1,188.642083333333,1
2005-05-08,440.225292978723,0.979166666666667,236.560208333333,1
2005-05-09,462.403521041667,1,249.687083333333,1
2005-05-10,307.944775125,1,222.44125,1
2005-05-11,693.959621,1,149.884791666667,1
2005-05-12,561.3493675,1,314.466041666667,1
2005-05-13,490.307958125,1,218.899166666667,1
2005-05-14,186.229428125,1,173.734375,1
2005-05-15,509.791175208333,1,277.829375,1
2005-05-16,182.462981666667,1,173.464375,1
2005-05-17,534.745704375,1,235.126875,1
2005-05-18,105.981574166667,1,100.924583333333,1
2005-05-19,629.0143516875,1,260.484791666667,1
2005-05-20,676.912149583333,1,199.952083333333,1
2005-05-21,291.085345625,1,245.916458333333,1
2005-05-22,412.433190208333,1,242.113958333333,1
2005-05-23,219.292988125,1,206.975833333333,1
2005-05-24,491.447961860465,0.895833333333333,183.40875,1
2005-05-25,729.64363375,1,159.316041666667,1
2005-05-26,749.846315319149,0.979166666666667,141.814680851064,0.979166666666667
2005-05-27,711.045128958333,1,190.715833333333,1
2005-05-28,709.995023333333,1,195.723333333333,1
2005-05-29,660.691307291667,1,208.32125,1
2005-05-30,144.97116125,1,138.106666666667,1
2005-05-31,649.230784791667,1,307.63125,1
2005-06-01,700.923098958333,1,262.77125,1
2005-06-02,723.536336666667,1,187.991458333333,1
2005-06-03,710.106902083333,1,186.3125,1
2005-06-04,410.783842291667,1,305.950625,1
2005-06-05,408.281251666667,1,307.249791666667,1
2005-06-06,247.33321125,1,235.631666666667,1
2005-06-07,663.375134375,1,258.090208333333,1
2005-06-08,721.140337916667,1,280.37,1
2005-06-09,675.54442,1,269.085,1
2005-06-10,754.9248886875,1,190.148333333333,1
2005-06-11,701.30940875,1,241.561041666667,1
2005-06-12,465.670798510638,0.979166666666667,334.301914893617,0.979166666666667
