NEE_L3.1_L3.2_QCF,NEE_L3.1_L3.2_QCF0,date
-3.0767618,-3.0767618,2022-01-13
-2.655742,-2.655742,2022-01-13
-2.20264333,-2.20264333,2022-01-13
-1.5350055,-1.5350055,2022-01-13
-0.808287,-0.808287,2022-01-13
0.445983,,2022-01-13
3.91939,,2022-01-13
2.378062,2.378062,2022-01-13
3.660292,,2022-01-13
1.809967,,2022-01-13
1.02526755,,2022-01-13
1.7973078,,2022-01-13
2.632977,,2022-01-13
3.773073,3.773073,2022-01-13
-0.3141629,,2022-01-13
1.7904036,,2022-01-13
1.66668,,2022-01-13
2.829867,,2022-01-13
2.4491567,,2022-01-13
2.3286919,,2022-01-13
,,2022-01-14
,,2022-01-14
0.4593621,,2022-01-14
1.6222481,,2022-01-14
1.3567973,,2022-01-14
2.41359,,2022-01-14
6.6499418,,2022-01-14
,,2022-01-14
1.803652,,2022-01-14
1.217779,,2022-01-14
4.6223399,,2022-01-14
4.330278,,2022-01-14
4.533267,,2022-01-14
2.497862,,2022-01-14
3.1881361,,2022-01-14
0.964088,,2022-01-14
3.0057,,2022-01-14
,,2022-01-14
1.187214,1.187214,2022-01-14
1.757023,,2022-01-14
,,2022-01-14
,,2022-01-14
,,2022-01-14
,,2022-01-14
-1.818637,-1.818637,2022-01-14
-2.117961,,2022-01-14
-1.726944,,2022-01-14
-1.567674,,2022-01-14
-0.988489,-0.988489,2022-01-14
,,2022-01-14
,,2022-01-14
,,2022-01-14
-0.30712,,2022-01-14
-2.99175,,2022-01-14
,,2022-01-14
0.25456,,2022-01-14
,,2022-01-14
3.009221,3.009221,2022-01-14
2.229761,2.229761,2022-01-14
1.017835,,2022-01-14
1.487425,,2022-01-14
-2.31875,,2022-01-14
,,2022-01-14
,,2022-01-14
,,2022-01-14
1.676113,,2022-01-14
2.72203,,2022-01-14
1.07327,,2022-01-14
,,2022-01-15
1.473285,,2022-01-15
0.425005,,2022-01-15
-0.725411,,2022-01-15
1.036435,,2022-01-15
,,2022-01-15
1.529892,,2022-01-15
0.0097182,,2022-01-15
-8.8448176,,2022-01-15
3.004635,,2022-01-15
0.250775,,2022-01-15
0.5594622,,2022-01-15
1.635853,,2022-01-15
,,2022-01-15
,,2022-01-15
,,2022-01-15
,,2022-01-15
11.312642,,2022-01-15
1.125435,,2022-01-15
-2.4657886,,2022-01-15
,,2022-01-15
-1.832597,,2022-01-15
-2.211755,-2.211755,2022-01-15
-2.2425688,-2.2425688,2022-01-15
-2.9800321,,2022-01-15
-1.534458,-1.534458,2022-01-15
,,2022-01-15
-2.3549013,-2.3549013,2022-01-15
-1.9942465,-1.9942465,2022-01-15
-1.207715,,2022-01-15
,,2022-01-15
-1.1429187,,2022-01-15
,,2022-01-15
1.421442,,2022-01-15
,,2022-01-15
,,2022-01-15
3.35405,,2022-01-15
6.8646405,,2022-01-15
,,2022-01-15
2.0715958,2.0715958,2022-01-15
,,2022-01-15
1.258478,,2022-01-15
0.565393,0.565393,2022-01-15
4.72289866,,2022-01-15
1.206898,,2022-01-15
1.47737,1.47737,2022-01-15
1.954791,1.954791,2022-01-15
1.116805,1.116805,2022-01-15
1.784022,,2022-01-16
2.86115224,,2022-01-16
0.605047,0.605047,2022-01-16
1.6854919,1.6854919,2022-01-16
0.78450585,,2022-01-16
1.9998042,1.9998042,2022-01-16
0.880427,0.880427,2022-01-16
1.079547,,2022-01-16
2.5819561,2.5819561,2022-01-16
1.423162,1.423162,2022-01-16
0.7232097,,2022-01-16
1.1153309,1.1153309,2022-01-16
1.461517,1.461517,2022-01-16
1.2073082,1.2073082,2022-01-16
,,2022-01-16
1.1963003,1.1963003,2022-01-16
1.2778471,1.2778471,2022-01-16
1.6495669,1.6495669,2022-01-16
1.4396904,1.4396904,2022-01-16
1.3454313,1.3454313,2022-01-16
1.059267,,2022-01-16
0.457387,0.457387,2022-01-16
,,2022-01-16
-0.699819,,2022-01-16
-1.687652,-1.687652,2022-01-16
-2.3886296,-2.3886296,2022-01-16
-1.38960618,-1.38960618,2022-01-16
-1.4475337,-1.4475337,2022-01-16
-1.7739477,,2022-01-16
-1.6603753,-1.6603753,2022-01-16
-1.28557079,-1.28557079,2022-01-16
,,2022-01-16
-0.280593,,2022-01-16
1.285865,,2022-01-16
-0.810321,-0.810321,2022-01-16
,,2022-01-16
,,2022-01-16
2.183752,,2022-01-16
1.3188016,,2022-01-16
1.403598,,2022-01-16
5.9090923,,2022-01-16
,,2022-01-16
9.1292098,,2022-01-16
,,2022-01-16
,,2022-01-16
0.868603,0.868603,2022-01-16
3.5833901,3.5833901,2022-01-16
1.530354,,2022-01-16
1.69931,,2022-01-17
1.3263212,1.3263212,2022-01-17
0.671328,,2022-01-17
0.241809,,2022-01-17
1.4957485,1.4957485,2022-01-17
0.764623,0.764623,2022-01-17
1.7329112,,2022-01-17
0.64397,,2022-01-17
0.532869,,2022-01-17
0.7749818,,2022-01-17
1.0585466,1.0585466,2022-01-17
0.5830095,,2022-01-17
,,2022-01-17
2.35263,,2022-01-17
,,2022-01-17
3.07253904,,2022-01-17
1.557945,,2022-01-17
-0.53556,,2022-01-17
,,2022-01-17
1.423079,,2022-01-17
2.829533,,2022-01-17
-3.033358,-3.033358,2022-01-17
-1.632606,,2022-01-17
-2.422797,-2.422797,2022-01-17
,,2022-01-17
,,2022-01-17
,,2022-01-17
,,2022-01-17
7.539031,7.539031,2022-01-17
1.5899784,1.5899784,2022-01-17
2.4867115,2.4867115,2022-01-17
3.4666613,3.4666613,2022-01-17
3.5468337,3.5468337,2022-01-17
2.7993769,2.7993769,2022-01-17
4.8675395,4.8675395,2022-01-17
6.0161537,6.0161537,2022-01-17
4.1799271,4.1799271,2022-01-17
4.13627,4.13627,2022-01-17
1.771826,,2022-01-17
4.946284,,2022-01-17
1.510174,,2022-01-17
1.403243,,2022-01-17
-1.669929,,2022-01-17
,,2022-01-17
0.6895084,,2022-01-17
0.4643792,,2022-01-17
,,2022-01-17
3.050577,,2022-01-17
0.952547,,2022-01-18
-1.064479,,2022-01-18
,,2022-01-18
1.0168438,,2022-01-18
,,2022-01-18
2.803911,,2022-01-18
2.413741,,2022-01-18
,,2022-01-18
5.352484,,2022-01-18
1.3080022,1.3080022,2022-01-18
2.731486,2.731486,2022-01-18
2.0138374,2.0138374,2022-01-18
3.301421,,2022-01-18
1.910262,1.910262,2022-01-18
3.198329,3.198329,2022-01-18
4.836218,4.836218,2022-01-18
,,2022-01-18
3.018326,,2022-01-18
,,2022-01-18
4.4713023,4.4713023,2022-01-18
0.7018,0.7018,2022-01-18
2.3740502,,2022-01-18
0.814462,0.814462,2022-01-18
,,2022-01-18
-0.824918,,2022-01-18
-0.3456022,-0.3456022,2022-01-18
-0.16806834,,2022-01-18
-0.8493517,-0.8493517,2022-01-18
-0.4303853,-0.4303853,2022-01-18
0.2585186,0.2585186,2022-01-18
-0.6169824,-0.6169824,2022-01-18
-0.5972384,-0.5972384,2022-01-18
1.6386362,1.6386362,2022-01-18
2.12217568,2.12217568,2022-01-18
0.7189832,,2022-01-18
1.7610823,1.7610823,2022-01-18
1.1997641,1.1997641,2022-01-18
1.1906863,1.1906863,2022-01-18
1.3503551,1.3503551,2022-01-18
3.1362408,,2022-01-18
1.593751,1.593751,2022-01-18
1.396872,,2022-01-18
3.078288,,2022-01-18
1.2074072,,2022-01-18
5.120577,,2022-01-18
,,2022-01-18
,,2022-01-18
2.183952,,2022-01-18
-2.941932,,2022-01-19
-1.749489,,2022-01-19
1.46990123,,2022-01-19
1.40673876,1.40673876,2022-01-19
2.002416,,2022-01-19
2.520596,2.520596,2022-01-19
2.117016,2.117016,2022-01-19
1.478792,1.478792,2022-01-19
2.331917,2.331917,2022-01-19
1.716673,,2022-01-19
3.861552,3.861552,2022-01-19
0.515009,0.515009,2022-01-19
10.44674,,2022-01-19
2.480532,2.480532,2022-01-19
2.148885817,2.148885817,2022-01-19
2.601043,2.601043,2022-01-19
5.417321,5.417321,2022-01-19
2.293981,,2022-01-19
3.049982,3.049982,2022-01-19
3.209712,,2022-01-19
2.2348228,2.2348228,2022-01-19
0.187882,,2022-01-19
,,2022-01-19
-0.689152,,2022-01-19
-1.605631,-1.605631,2022-01-19
1.575637,,2022-01-19
-2.528632,-2.528632,2022-01-19
-2.6855051,-2.6855051,2022-01-19
-3.8552868,-3.8552868,2022-01-19
-2.0236591,-2.0236591,2022-01-19
-2.633978,-2.633978,2022-01-19
-0.5666447,,2022-01-19
0.3250165,0.3250165,2022-01-19
0.777358039,,2022-01-19
9.878248,,2022-01-19
3.99116,3.99116,2022-01-19
,,2022-01-19
1.009735,,2022-01-19
,,2022-01-19
2.574245,,2022-01-19
,,2022-01-19
,,2022-01-19
6.529636,,2022-01-19
,,2022-01-19
,,2022-01-19
3.825318,3.825318,2022-01-19
4.396564,4.396564,2022-01-19
2.852967,,2022-01-19
5.47483,,2022-01-20
1.15254,,2022-01-20
,,2022-01-20
0.577169,,2022-01-20
1.3700385,1.3700385,2022-01-20
1.0400313,1.0400313,2022-01-20
1.9322342,1.9322342,2022-01-20
1.459582,1.459582,2022-01-20
2.1101986,2.1101986,2022-01-20
1.9353724,1.9353724,2022-01-20
1.4405815,1.4405815,2022-01-20
,,2022-01-20
1.5978693,1.5978693,2022-01-20
2.040466,2.040466,2022-01-20
1.5522727,1.5522727,2022-01-20
2.247941,2.247941,2022-01-20
3.620249,,2022-01-20
2.2482447,2.2482447,2022-01-20
0.8864721,0.8864721,2022-01-20
,,2022-01-20
-0.778947,,2022-01-20
,,2022-01-20
-3.222596,-3.222596,2022-01-20
-2.556947,-2.556947,2022-01-20
-2.0792081,-2.0792081,2022-01-20
-1.8103159,-1.8103159,2022-01-20
-2.729733,-2.729733,2022-01-20
-1.384014,-1.384014,2022-01-20
1.013789,1.013789,2022-01-20
0.53111084,,2022-01-20
2.0251872,2.0251872,2022-01-20
2.4912953,2.4912953,2022-01-20
4.3058827,4.3058827,2022-01-20
5.1916339,5.1916339,2022-01-20
6.7457097,6.7457097,2022-01-20
4.6808694,4.6808694,2022-01-20
3.5287769,3.5287769,2022-01-20
