TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
199105,9.51,8.228,2.005,10.208,2.921,224.239,319.503,3.57,96.339,3.912,1.715
199106,14.45,13.277,1.779,15.037,2.629,204.363,351.387,4.175,96.163,5.654,1.778
199107,20.222,19.633,1.556,20.525,2.805,254.946,368.06,6.872,96.305,4.945,1.649
199108,18.905,17.22,2.508,20.006,4.189,220.436,354.385,6.48,96.544,1.289,1.388
199109,15.869,14.62,2.127,16.912,3.434,154.259,350.376,4.401,96.313,3.708,1.362
199110,7.899,7.167,1.776,8.73,2.339,95.918,322.794,1.336,96.259,2.85,1.509
199111,3.591,3.155,1.496,4.226,1.603,50.138,308.928,0.818,96.084,3.564,1.688
199112,-0.842,-1.229,1.495,-0.197,1.616,47.425,280.048,0.5,97.246,2.716,2.033
199201,-0.851,-1.235,1.493,-0.232,1.774,62.948,274.961,0.56,97.269,0.635,1.43
199202,2.057,1.408,1.914,2.862,2.479,89.311,287.728,1.23,96.993,2.126,1.893
199203,5.711,4.963,2.003,6.438,2.696,122.202,306.555,2.204,96.184,2.831,2.299
199204,8.14,7.218,2.332,8.805,3.171,178.739,313.666,3.478,95.868,3.905,2.117
199205,14.681,13.326,2.067,15.427,3.304,233.75,336.834,5.531,96.371,2.189,1.751
199206,15.311,13.986,1.659,15.973,2.722,202.704,352.82,3.986,95.958,4.147,1.78
199207,18.514,16.942,1.881,19.338,3.049,217.173,365.119,5.498,96.401,3.343,1.442
199208,20.228,18.656,2.358,21.261,3.506,210.466,367.578,7.445,96.289,4.329,1.542
199209,13.775,12.833,2.042,14.579,2.885,133.027,346.768,2.781,96.559,2.878,1.447
199210,7.244,6.858,1.306,7.685,1.543,69.704,332.37,0.943,95.519,4.15,2.152
199211,6.218,5.776,1.696,6.875,1.473,44.221,322.241,0.831,96.407,5.007,2.109
199212,0.85,0.572,1.289,1.312,1.471,43.52,289.855,0.475,96.378,2.034,1.326
199301,2.948,2.48,1.795,3.7,1.946,48.999,299.453,1.193,97.095,1.329,2.266
199302,-0.157,-0.63,1.42,0.444,2.055,99.146,273.421,0.854,97.091,0.909,1.453
199303,4.513,3.605,2.268,5.383,3.104,149.968,290.604,2.722,96.528,1.681,1.688
199304,10.23,9.129,1.989,11.028,3.032,192.094,319.764,4.092,95.741,2.936,1.675
199305,14.079,12.632,1.83,14.874,2.847,217.769,341.085,4.365,95.984,3.353,1.57
199306,16.398,15.069,1.942,17.063,2.891,216.133,353.946,4.855,96.29,3.757,1.689
199307,16.943,15.651,2.058,17.612,2.941,217.02,356.665,5.355,96.442,6.441,1.831
199308,17.317,16.011,2.023,18.157,3.422,193.509,357.809,5.364,96.501,4.304,1.577
199309,12.63,11.656,1.593,13.458,2.391,137.949,343.099,2.346,95.933,3.835,1.647
199310,7.454,6.996,1.303,7.967,1.754,84.351,327.48,0.958,95.962,2.912,1.565
199311,1.379,1.055,0.993,1.857,1.359,59.755,296.452,0.46,96.364,1.391,1.391
199312,3.933,3.679,1.551,4.357,1.152,34.98,315.851,1.241,95.878,3.882,3.196
199401,2.235,2.039,1.419,2.545,1.422,45.249,302.643,0.732,96.131,3.538,2.226
199402,2.417,1.954,1.486,2.991,1.925,79.836,294.973,1.123,95.881,1.35,1.647
199403,8.797,8.085,1.965,9.478,2.664,129.15,317.839,3.068,96.575,2.138,2.607
199404,6.953,6.065,1.706,7.605,2.365,164.21,318.068,2.171,95.753,4.151,2.028
199405,12.985,11.883,1.765,13.599,2.578,182.161,343.123,3.11,95.937,5.87,1.661
199406,16.841,15.201,2.072,17.66,3.114,242.645,351.556,5.699,96.529,3.323,1.919
199407,21.051,19.38,2.007,21.919,3.34,246.786,370.355,7.533,96.394,3.74,1.288
199408,19.03,17.558,2.079,19.979,3.233,201.144,366.613,5.76,96.253,5.65,1.462
199409,13.909,13.411,1.206,14.324,2.044,122.173,356.03,2.42,96.115,5.521,1.564
199410,9.192,8.381,1.992,10.109,2.727,105.186,321.286,1.911,96.251,1.858,1.656
199411,7.456,7.134,1.246,7.929,1.587,53.849,326.431,0.644,96.592,1.619,1.221
199412,3.1,2.787,1.25,3.622,1.365,39.535,305.106,0.673,96.683,2.958,1.967
199501,-0.07,-0.562,1.873,0.711,1.697,48.948,290.462,0.768,96.272,4.451,2.699
199502,5.025,4.45,1.745,5.763,2.042,71.006,313.252,1.529,96.187,3.785,2.231
199503,3.751,2.935,2.069,4.549,2.569,134.569,290.915,2.177,96.061,3.65,2.687
199504,8.587,7.738,2.064,9.22,2.855,158.001,323.947,2.677,96.15,2.541,2.057
199505,12.832,11.493,2.23,13.585,2.997,213.905,333.183,4.714,96.146,6.159,1.735
199506,14.41,13.073,1.784,15.079,2.676,222.315,345.118,4.452,96.253,4.604,1.761
199507,20.485,18.817,2.065,21.348,3.173,238.704,368.339,7.046,96.284,3.43,1.5
199508,17.389,16.124,1.64,18.2,2.756,187.761,361.018,4.725,96.318,4.936,1.683
199509,11.461,10.415,1.604,12.339,2.52,129.419,336.935,2.211,96.029,4.282,1.671
199510,13.079,12.758,1.482,13.443,2.659,102.676,343.324,2.156,96.813,0.989,1.011
199511,3.572,3.216,1.666,4.094,1.97,60.545,302.283,0.819,96.332,2.37,1.481
199512,-0.194,-0.337,1.196,0.043,1.181,36.63,298.957,0.283,95.948,4.152,1.611
199601,-0.123,-0.36,1.049,0.254,1.5,59.526,284.23,0.171,95.802,0.455,0.93
199602,-0.164,-0.662,1.439,0.447,1.792,81.955,286.534,0.952,95.717,2.266,2.005
199603,3.461,2.691,2.02,4.214,2.959,145.92,288.709,2.037,95.946,1.819,1.714
199604,9.221,8.059,2.234,10.062,3.294,195.48,315.001,3.916,96.084,2.263,1.686
199605,12.11,10.989,1.892,12.723,2.511,186.961,341.902,3.272,95.902,4.226,1.692
199606,16.747,15.151,1.971,17.545,3.047,235.178,352.064,5.775,96.589,4.126,1.775
199607,16.948,15.335,2.052,17.795,3.191,235.719,349.565,5.716,96.448,4.488,1.885
199608,16.476,15.164,1.622,17.335,2.895,183.705,358.439,3.7,96.279,4.914,1.443
199609,10.628,9.689,1.923,11.444,2.911,138.178,329.766,2.385,96.109,1.893,1.924
199610,9.121,8.519,1.809,9.804,2.336,86.45,331.129,1.564,96.411,2.937,1.67
199611,4.169,3.878,1.515,4.576,1.61,52.852,313.023,0.895,95.819,4.586,2.086
199612,-0.302,-0.613,1.257,0.216,1.279,41.264,291.784,0.329,95.727,2.247,1.339
199701,-0.892,-1.188,1.057,-0.42,1.459,53.937,288.264,0.261,96.492,0.892,0.918
199702,4.464,3.886,2.288,5.202,2.661,84.662,295.485,2.068,96.823,2.387,2.417
199703,7.362,6.423,2.49,8.284,3.385,139.509,305.777,2.711,96.912,1.367,1.862
199704,7.754,6.561,2.915,8.633,3.578,214.797,296.643,4.097,96.384,3.974,2.362
199705,13.494,12.036,2.318,14.299,3.26,243.638,327.084,5.095,96.144,2.189,2.001
199706,15.478,14.204,1.699,16.115,2.682,197.366,354.503,4.438,95.803,5.317,1.641
199707,17.727,17.236,1.393,17.978,2.245,230.967,358.567,5.125,96.424,6.06,1.471
199708,19.275,17.764,2.106,20.261,3.388,198.576,367.026,5.4,96.39,3.851,1.108
199709,14.678,13.458,2.52,15.717,3.846,163.136,340.965,3.203,96.731,2.514,1.231
199710,8.602,7.813,2.013,9.494,2.792,108.149,315.3,2.125,96.315,1.738,1.862
199711,3.937,3.465,1.589,4.611,2.088,60.555,304.244,0.637,95.573,1.344,1.143
199712,2.272,2.014,1.303,2.703,1.165,35.348,307.488,0.527,95.925,3.471,1.999
199801,1.716,1.474,1.36,2.104,1.734,55.027,290.154,0.887,96.36,2.488,2.082
199802,3.567,2.764,2.594,4.585,3.506,96.036,290.348,1.799,97.079,0.732,1.457
199803,5.56,4.73,2.325,6.343,2.955,136.424,302.121,3.067,96.755,2.197,2.137
199804,8.188,7.063,2.101,9.001,2.739,171.63,317.59,2.672,95.271,4.082,1.866
199805,14.638,13.06,2.321,15.515,3.322,237.565,332.054,6.475,96.136,1.952,1.787
199806,17.117,15.486,2.132,17.932,3.173,235.615,352.411,6.462,96.394,6.488,1.54
199807,18.047,16.57,1.882,18.808,3.155,198.85,362.879,6.051,96.207,4.121,1.854
199808,17.828,16.265,2.192,18.837,3.736,189.961,356.217,6.81,96.49,2.207,1.637
199809,13.261,12.318,1.727,14.055,2.573,134.927,346.716,2.636,95.97,4.523,1.938
199810,9.471,8.887,1.7,10.127,2.025,74.614,335.726,1.942,96.21,3.457,2.336
199811,1.65,1.247,1.392,2.231,1.619,55.952,297.173,0.819,96.349,3.503,1.918
199812,0.705,0.242,1.411,1.477,1.54,45.144,292.132,0.648,96.687,1.233,1.656
199901,2.211,1.805,1.711,2.853,2.032,51.076,293.475,1.002,96.248,2.594,2.081
199902,-0.677,-1.142,1.65,-0.082,1.709,66.848,295.071,0.503,96.224,4.877,2.658
199903,6.258,5.862,1.753,6.657,2.707,130.093,308.572,2.322,95.829,2.948,1.87
199904,8.532,7.62,1.943,9.202,2.658,165.102,322.117,2.469,96.022,3.986,1.868
199905,15.041,13.884,1.869,15.677,2.742,193.464,349.294,4.277,96.186,6.266,1.489
199906,14.981,13.531,1.991,15.706,3.166,221.384,345.458,4.378,96.457,4.525,1.594
199907,19.598,19.072,1.289,19.869,2.395,233.227,364.921,6.806,96.3,4.791,1.803
199908,17.817,16.589,1.696,18.618,3.031,178.881,364.641,4.46,96.132,3.654,1.395
199909,16.164,15.029,1.969,17.115,3.085,143.307,353.812,3.847,96.043,4.412,1.419
199910,8.892,8.147,1.983,9.748,2.611,98.95,324.083,1.414,96.338,1.8,1.49
199911,2.071,1.766,1.357,2.531,1.684,55.012,298.314,0.491,96.576,2.858,1.432
199912,2.053,1.683,1.545,2.67,1.504,37.154,302.11,0.91,96.005,4.268,2.643
200001,0.266,-0.06,1.497,0.783,1.697,48.671,289.887,0.569,96.953,1.421,1.77
200002,3.952,3.564,1.952,4.435,2.167,71.01,305.714,1.368,96.825,3.605,2.176
200003,5.877,5.089,2.151,6.631,2.674,131.253,305.759,2.39,96.535,2.369,2.185
200004,9.748,8.681,2.501,10.52,3.21,185.516,317.749,3.653,95.428,2.329,1.655
200005,14.999,13.592,2.127,15.787,3.093,213.873,342.663,5.069,96.231,3.103,1.741
200006,17.644,15.962,2.421,18.485,3.748,246.792,349.482,6.974,96.638,2.217,1.483
200007,15.987,14.471,1.771,16.779,2.649,213.48,353.134,4.686,96.095,5.972,1.889
200008,18.769,17.29,2.119,19.734,3.202,195.569,361.155,5.673,96.489,4.312,1.146
200009,14.68,13.462,2.274,15.724,3.261,154.193,345.548,3.373,96.199,2.966,1.507
200010,9.847,9.241,1.573,10.544,2.047,81.136,334.26,1.397,96.169,2.495,1.289
200011,5.094,4.575,1.593,5.861,2.082,59.487,307.139,0.984,95.535,3.405,1.411
200012,3.436,3.09,1.397,4.013,1.629,42.04,300.492,0.821,95.85,1.44,1.408
200101,1.132,0.786,1.424,1.68,1.574,48.135,294.87,0.492,95.861,3.297,1.458
